INDEX,TOWN,STATE,DATES,PRICES
1,Pariang,Ruweng,2023-01-01,65.5
2,Bentiu,Unity,2023-01-01,64.0 
3,Paloch,Upper Nile,2023-01-01,66.2
4,Malakal,Upper Nile,2023-01-01,63.5
5,Melut,Upper Nile,2023-01-01,62.8
6,Muglad,Muglad,2023-01-01,61.5
7,Panthou,Ruweng,2023-01-01,65.0
8,Nimule,CES,2023-01-01,63.9
9,Suk,Upper Nile,2023-01-01,64.5
10,Yei,Upper Nile,2023-01-01,64.5
11,Juba,CES,2023-01-01,64.5
12,Kapoeta,ECS,2023-01-01,64.5
13,TomSouth,Ruweng,2023-02-01,66.0
14,TomNorth,Ruweng,2023-02-01,64.5
15,Rumbek,Lakes,2023-02-01,63.0
16,Wau,Western Bahr el Ghazal,2023-02-01,62.5
17,Aweil,Northern Bahr el Ghazal,2023-02-01,61.8
18,Kuajok,Western Bahr el Ghazal,2023-02-01,62.0
19,Gbududu,Unity,2023-02-01,64.5
20,Maban,Unity,2023-02-01,64.5
21,Bor,Upper Nile,2023-02-01,63.5
22,Mayendit,Unity,2023-02-01,64.5
23,Murahleene,Lakes,2023-02-01,63.5
24,Nyamilep,Lakes,2023-02-01,64.5
25,Cuibet,Lakes,2023-02-01,63.5
