Well Name,Field,Status,Production (BOE/d),% Change,Water Cut (%)
Athouny #12-345,Athouny Pariang,Producing,118,-0.8,38.3
Tom South #67-890,TomSouth Pariang,Producing,1132,-0.6,22.1
Wezin #45-678,Wezin Pariang,Producing,406,1.3,20.6
Unity #23-456,Unity Bentiu,Shut-in,0,0,0
Heglig #34-567,Panthou Pariang,Drilling,110,0,11.4
Toma South #78-901,Toma South,Producing,875,2.1,24.5
Paloch #56-789,Paloch,Producing,1450,3.2,19.8
Adar Yale #23-678,Adar Yale,Producing,920,1.7,21.3
Melut #45-890,Melut Basin,Producing,1280,2.8,18.7
Muglad #67-123,Muglad Basin,Producing,765,-1.2,26.4
Unity #78-234,Unity,Producing,680,1.5,23.8
Heglig #89-345,Heglig,Producing,1120,2.3,20.5
Nile #12-456,White Nile,Drilling,180,0,12.8
Thar Jath #34-678,Thar Jath,Producing,540,-0.7,28.3
Mala #56-789,Mala,Shut-in,0,0,0
Bamboo #67-890,Bamboo Area,Producing,320,0.9,25.1
Diffra #78-901,Diffra,Producing,490,1.1,22.7
Manga #89-012,Manga,Producing,630,1.8,21.9
Paloch #90-123,Paloch,Producing,1380,2.5,18.2
Adar #01-234,Adar,Producing,870,1.6,23.4
Gumry #12-345,Gumry,Drilling,140,0,10.5
Bentiu #23-456,Bentiu,Producing,720,1.9,24.2
Rubkona #34-567,Rubkona,Producing,580,1.2,25.8
Toma East #45-678,Toma East,Producing,910,2.2,20.3
Heglig North #56-789,Heglig North,Producing,1050,2.4,19.6
Nile Delta #67-890,Nile Delta,Producing,400,0.5,27.4
Thar Jath South #78-901,Thar Jath South,Producing,520,1,26.1
Mala East #89-012,Mala East,Producing,300,0.8,29.3
Bamboo West #90-123,Bamboo West,Producing,350,1.3,24.9
Diffra North #01-234,Diffra North,Producing,450,1.4,22.5
Manga South #12-345,Manga South,Producing,600,1.7,21.1
Athouny #12-345,Athouny Pariang,Producing,118,-0.8,38.3
Tom South #67-890,TomSouth Pariang,Producing,1132,-0.6,22.1
Wezin #45-678,Wezin Pariang,Abandoned,0,0,0
Unity #23-456,Unity Bentiu,Shut-in,0,0,0
Heglig #34-567,Panthou Pariang,Drilling,110,0,11.4
Toma South #78-901,Toma South,Producing,875,2.1,24.5
Paloch #56-789,Paloch,Producing,1450,3.2,19.8
Adar Yale #23-678,Adar Yale,Abandoned,0,0,0
Melut #45-890,Melut Basin,Producing,1280,2.8,18.7
Muglad #67-123,Muglad Basin,Drilling,0,0,0
Unity #78-234,Unity,Producing,680,1.5,23.8
Heglig #89-345,Heglig,Abandoned,0,0,0
Nile #12-456,White Nile,Drilling,180,0,12.8
Thar Jath #34-678,Thar Jath,Producing,540,-0.7,28.3
Mala #56-789,Mala,Shut-in,0,0,0
Bamboo #67-890,Bamboo Area,Producing,320,0.9,25.1
Diffra #78-901,Diffra,Drilling,0,0,0
Manga #89-012,Manga,Producing,630,1.8,21.9
Paloch #90-123,Paloch,Producing,1380,2.5,18.2
Adar #01-234,Adar,Abandoned,0,0,0
Gumry #12-345,Gumry,Drilling,140,0,10.5
Bentiu #23-456,Bentiu,Producing,720,1.9,24.2
Rubkona #34-567,Rubkona,Abandoned,0,0,0
Toma East #45-678,Toma East,Producing,910,2.2,20.3
Heglig North #56-789,Heglig North,Producing,1050,2.4,19.6
Nile Delta #67-890,Nile Delta,Drilling,85,0,9.2
Thar Jath South #78-901,Thar Jath South,Producing,520,1,26.1
Mala East #89-012,Mala East,Abandoned,0,0,0
Bamboo West #90-123,Bamboo West,Producing,350,1.3,24.9
Diffra North #01-234,Diffra North,Shut-in,0,0,0
Manga South #12-345,Manga South,Producing,600,1.7,21.1
Paloch West #23-456,Paloch West,Drilling,95,0,8.7
Adar North #34-567,Adar North,Abandoned,0,0,0
Melut East #45-678,Melut East,Producing,890,-1.1,27.5
Muglad Central #56-789,Muglad Central,Producing,710,1.4,22.3
Unity South #67-890,Unity South,Abandoned,0,0,0
Heglig East #78-901,Heglig East,Drilling,120,0,10.8
White Nile #89-012,White Nile,Producing,430,0.7,23.9
Thar Jath North #90-123,Thar Jath North,Abandoned,0,0,0
Mala West #01-234,Mala West,Producing,280,-0.5,29.7
Bamboo North #12-345,Bamboo North,Drilling,75,0,7.9
Diffra East #23-456,Diffra East,Producing,510,1.2,21.5
