Category,Field,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Unit
Oil Production,Paloch,120,122,124,121,118,115,118,120,123,125,127,129,MBbl/d
Oil Production,Melut Basin,107,109,111,113,111,107,105,107,110,112,114,116,MBbl/d
Oil Production,Muglad Basin,63,65,67,68,65,61,58,61,63,67,69,72,MBbl/d
Oil Production,Unity,56,58,59,60,56,52,48,52,56,60,62,64,MBbl/d
Oil Production,Heglig,92,94,95,96,92,88,84,86,90,93,95,96,MBbl/d
Oil Production,Thar Jath,44,45,46,47,45,42,40,41,44,46,47,48,MBbl/d
Oil Production,White Nile,35,36,37,38,36,34,32,33,35,37,38,39,MBbl/d
Oil Production,Toma South,72,73,74,75,72,69,66,68,71,73,75,76,MBbl/d
Oil Production,Total,624,635,646,651,625,597,576,595,624,647,662,677,MBbl/d
-
Gas Production,Paloch,42,43,43,42,41,40,41,42,43,44,44,45,MMscf/d
Gas Production,Melut Basin,38,39,40,40,39,38,37,38,39,40,41,42,MMscf/d
Gas Production,Muglad Basin,26,27,28,28,27,25,24,25,26,28,29,30,MMscf/d
Gas Production,Unity,24,24,25,25,24,22,21,22,24,25,26,27,MMscf/d
Gas Production,Heglig,41,42,42,43,41,39,38,39,40,42,43,44,MMscf/d
Gas Production,Total,198,201,205,206,198,189,182,188,198,206,211,216,MMscf/d
-
Gas Flared,Paloch,8,8,8,8,8,8,8,8,8,8,8,8,MMscf/d
Gas Flared,Melut Basin,7,7,7,7,7,7,7,7,7,7,7,7,MMscf/d
Gas Flared,Muglad Basin,5,5,5,5,5,5,5,5,5,5,5,5,MMscf/d
Gas Flared,Total,25,25,25,25,25,25,25,25,25,25,25,25,MMscf/d
-
Water Production,Paloch,87,88,90,88,86,84,86,87,89,91,92,94,MBbl/d
Water Production,Melut Basin,76,77,79,80,79,76,75,76,78,80,81,83,MBbl/d
Water Production,Muglad Basin,85,87,89,90,87,82,79,82,85,89,92,96,MBbl/d
Water Production,Unity,44,45,46,47,44,41,38,41,44,47,49,50,MBbl/d
Water Production,Total,358,364,371,374,359,342,329,340,358,373,383,392,MBbl/d
-
Water Cut,Paloch,42.0,41.9,42.0,42.1,42.2,42.2,42.1,42.0,42.0,42.1,42.0,42.1,%
Water Cut,Melut Basin,41.5,41.4,41.6,41.5,41.6,41.5,41.6,41.5,41.5,41.6,41.5,41.7,%
Water Cut,Muglad Basin,57.4,57.2,57.1,57.0,57.2,57.4,57.6,57.4,57.4,57.1,57.1,57.1,%
Water Cut,Unity,44.0,43.7,43.8,43.9,44.0,44.1,44.2,44.1,44.0,43.9,44.1,43.9,%
-
Well Count,Paloch,12,12,12,12,12,12,12,12,12,12,12,12,Count
Well Count,Melut Basin,15,15,15,15,15,15,15,15,15,15,15,15,Count
Well Count,Muglad Basin,18,18,18,18,18,18,18,18,18,18,18,18,Count
Well Count,Unity,8,8,8,8,8,8,8,8,8,8,8,8,Count
Well Count,Total,125,125,126,127,127,127,127,128,129,130,130,131,Count
-
Status,Gumry,Drilling,Drilling,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Text
Status,Nile Delta,Drilling,Drilling,Drilling,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Producing,Text
Status,Diffra,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Shut-in,Text
